Gene,Mutation CDF
G,0.5
2300002M23RIK,0.5322286020866925
2310061I04RIK,0.5322286020866925
4833413E03RIK,0.5322286020866925
4921501E09RIK,0.9154101472361788
4930539E08RIK,0.5642472157888833
ACTL9,0.5642472157888833
AGER,0.5322286020866925
ATF6B,0.5322286020866925
BC051142,0.5322286020866925
BRD4,0.5322286020866925
BTBD9,0.5642472157888833
BTNL1,0.5642472157888833
BTNL2,0.6570281952427544
BTNL4,0.9999956668445749
BTNL6,0.9999999879913846
C4B,0.6570281952427544
CBS,0.5322286020866925
COL11A2,0.6862466543856541
CPNE5,0.5322286020866925
CYP21A1,0.714341305648531
CYP4F13,0.6570281952427544
CYP4F15,0.5322286020866925
CYP4F17,0.5322286020866925
DAXX,0.5322286020866925
DNAH8,0.5322286020866925
EPHX3,0.5322286020866925
ESP31,0.5958499484021504
ESP34,0.5322286020866925
FGD2,0.5958499484021504
FKBPL,0.5322286020866925
GLP1R,0.5322286020866925
GM15821,0.5322286020866925
H2-AA,0.8534514228882344
H2-AB1,0.9685631455659446
H2-DMA,0.5322286020866925
H2-DMB1,0.6862466543856541
H2-DMB2,0.6268389657319584
H2-EB1,0.6570281952427544
H2-EB2,0.6268389657319584
H2-K1,0.9999869693194835
H2-KE6,0.5642472157888833
H2-OA,0.5642472157888833
H2-OB,0.6570281952427544
H2-Q2,0.5322286020866925
KIFC1,0.5642472157888833
LST1,0.5322286020866925
MDGA1,0.5322286020866925
MORC2B,0.5642472157888833
MSH5,0.5322286020866925
MYO1F,0.5642472157888833
NOTCH3,0.6268389657319584
NOTCH4,0.6862466543856541
OLFR239,0.5322286020866925
OLFR55,0.5322286020866925
PI16,0.5322286020866925
PNPLA1,0.6268389657319584
PPIL1,0.5322286020866925
PRAM1,0.5642472157888833
PSMB8,0.5322286020866925
PSMB9,0.5958499484021504
RAB44,0.5642472157888833
RGL2,0.5642472157888833
RING1,0.5322286020866925
RPS18,0.5322286020866925
RXRB,0.5322286020866925
SAPCD1,0.5642472157888833
SLC39A7,0.5642472157888833
STK19,0.5642472157888833
TAP1,0.6570281952427544
TAP2,0.5958499484021504
TAPBP,0.5322286020866925
TNXB,0.9685631455659446
UBASH3A,0.5642472157888833
UMODL1,0.5642472157888833
VPS52,0.9378032195523833
WDR4,0.5322286020866925
WDR46,0.6570281952427544
WIZ,0.5322286020866925
ZFP101,0.5322286020866925
ZFP81,0.5642472157888833
ZFP811,0.5322286020866925
ZFP870,0.7411793605989387
ZFP955A,0.6570281952427544
